                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.1408,                0.68709,                  1.113,                0.92962,                0.75904,                0.88426,                0.54709,                 1.3475,                0.84566,                 1.2383,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.1345,                0.69833,                  1.091,                0.92481,                0.78313,                0.89156,                 0.5484,                 1.3195,                0.79458,                 1.2549,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.1934,                 0.7277,                   1.14,                 0.8923,                0.81928,                0.89029,                0.54536,                 1.3126,                0.71839,                 1.2707,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.1167,                0.68402,                   1.11,                0.87923,                0.87952,                0.92492,                0.57639,                 1.3342,                0.68498,                  1.255,               0.000911,               0.000911,               0.000911
                     58,                 1.1412,                0.66448,                 1.1073,                0.85224,                0.78313,                0.84936,                0.53804,                  1.334,                0.72141,                 1.2869,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.1062,                0.68291,                 1.0914,                0.84127,                0.83133,                0.88993,                0.55396,                 1.2781,                0.74641,                 1.2556,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.0536,                0.65766,                 1.0726,                0.85979,                0.81928,                0.89584,                0.56141,                 1.3248,                0.71831,                 1.2657,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.1089,                0.67477,                 1.0944,                0.88843,                0.86353,                0.92962,                0.57713,                 1.2901,                0.66479,                 1.2272,              0.0008318,              0.0008318,              0.0008318
                     62,                  1.092,                0.65066,                 1.0776,                0.94052,                0.79518,                0.90859,                0.58649,                 1.2272,                0.67115,                 1.2177,               0.000812,               0.000812,               0.000812
                     63,                 1.0656,                0.66917,                 1.0786,                0.96283,                0.77108,                0.88015,                0.56314,                 1.2561,                0.74039,                 1.2205,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.1293,                0.65003,                 1.0958,                0.79156,                0.86932,                 0.8754,                0.55529,                 1.2807,                0.75171,                 1.2551,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.0433,                0.63031,                 1.0613,                0.87176,                  0.819,                0.88488,                0.56023,                 1.2481,                 0.7316,                 1.2269,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.0003,                0.62818,                 1.0474,                0.89432,                0.81568,                0.89192,                0.57282,                 1.2163,                0.77406,                 1.2367,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.0399,                0.62454,                 1.0721,                0.87051,                0.81001,                0.87847,                0.55076,                 1.2242,                0.72928,                  1.225,               0.000713,               0.000713,               0.000713
                     68,                 1.0178,                0.63514,                 1.0309,                0.84556,                0.81928,                0.88506,                0.55025,                 1.2632,                0.72114,                 1.2191,              0.0006932,              0.0006932,              0.0006932
                     69,                  1.086,                0.64286,                 1.0804,                0.86143,                0.82393,                0.88294,                0.54636,                  1.298,                0.72215,                 1.2486,              0.0006734,              0.0006734,              0.0006734
